OBJECTID,TreeID,DataProvider,District,Street,AreaGroup,TreeType,PlantingYear,PlantingYear_txt,TrunkSize,TrunkSize_txt,TreeHeight,TreeHeight_txt,TreeCrownDiameter,TreeCrownDiameter_txt,TreeNumber
394118976,287457,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2017,"2017",34,34 cm,2,6-10 m,1,0-3 m,"4006"
394118977,287459,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2017,"2017",26,26 cm,2,6-10 m,1,0-3 m,"3015"
394118978,233892,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",39,39 cm,3,11-15 m,2,4-6 m,"3013"
394118979,332289,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2020,"2020",24,24 cm,2,6-10 m,1,0-3 m,"3008"
394118983,9450,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer pseudoplatanus 'Atropurpureum' (Purpurner Bergahorn),1973,"1973",112,112 cm,3,11-15 m,3,7-9 m,"3005"
394118984,233891,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",39,39 cm,2,6-10 m,2,4-6 m,"3001"
394119447,9427,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1956,"1956",162,162 cm,3,11-15 m,3,7-9 m,"2001"
394119449,147743,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia cordata 'Greenspire' (Stadtlinde),2008,"2008",48,48 cm,3,11-15 m,2,4-6 m,"1038"
394119453,184681,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2011,"2011",47,47 cm,2,6-10 m,2,4-6 m,"1003"
394119454,2101,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Platanus x acerifolia (Ahornblättrige Platane),1886,"1886",313,313 cm,5,21-25 m,8,>21 m,"1002"
394119457,9497,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia cordata (Winterlinde),1993,"1993",67,67 cm,3,11-15 m,2,4-6 m,"1032"
394119458,237831,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",38,38 cm,2,6-10 m,2,4-6 m,"1031"
394119470,9491,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1996,"1996",69,69 cm,3,11-15 m,2,4-6 m,"1026"
394119472,9489,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),2002,"2002",60,60 cm,3,11-15 m,2,4-6 m,"1024"
394119476,191072,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2012,"2012",36,36 cm,2,6-10 m,2,4-6 m,"1022"
394119477,197093,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2012,"2012",38,38 cm,2,6-10 m,2,4-6 m,"1020"
394119482,9425,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer pseudoplatanus (Bergahorn),1956,"1956",151,151 cm,4,16-20 m,4,10-12 m,"1018"
394119483,332285,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2020,"2020",23,23 cm,2,6-10 m,1,0-3 m,"1017"
394119487,9423,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1972,"1972",120,120 cm,5,21-25 m,2,4-6 m,"1016"
394119488,9422,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1992,"1992",74,74 cm,3,11-15 m,3,7-9 m,"1015"
394119490,170482,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia cordata 'Greenspire' (Stadtlinde),2009,"2009",39,39 cm,3,11-15 m,2,4-6 m,"1013"
394119492,9418,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),1983,"1983",91,91 cm,4,16-20 m,3,7-9 m,"1011"
394119493,9416,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),2001,"2001",39,39 cm,3,11-15 m,2,4-6 m,"1009"
394119495,303630,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2017,"2017",30,30 cm,2,6-10 m,1,0-3 m,"1005"
394119496,287455,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2017,"2017",34,34 cm,3,11-15 m,2,4-6 m,"1004"
394119497,237830,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",39,39 cm,3,11-15 m,2,4-6 m,"1002"
394121252,187767,magistrat,1,Universitätsring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2011,"2011",45,45 cm,2,6-10 m,2,4-6 m,"2032"
394121070,354862,magistrat,1,Burgring,"MA 28 - Straße, Grünanlage",Jungbaum wird gepflanzt,0,nicht definiert,0,nicht bekannt,0,nicht bekannt,0,nicht bekannt,"2028"
394121124,2043,magistrat,1,Universitätsring,"MA 28 - Straße, Grünanlage",Tilia x vulgaris (Holländische Linde),1968,"1968",130,130 cm,4,16-20 m,3,7-9 m,"2059"
394121139,1710,magistrat,1,Concordiaplatz,"MA 28 - Straße, Grünanlage",Sophora japonica (Schnurbaum),1984,"1984",114,114 cm,3,11-15 m,4,10-12 m,"1004"
394121148,124710,magistrat,1,Börseplatz,"MA 28 - Straße, Grünanlage",Celtis occidentalis (Westlicher Zürgelbaum),1995,"1995",82,82 cm,2,6-10 m,3,7-9 m,"2004"
394121149,124708,magistrat,1,Börseplatz,"MA 28 - Straße, Grünanlage",Celtis occidentalis (Westlicher Zürgelbaum),1997,"1997",78,78 cm,2,6-10 m,3,7-9 m,"2002"
394121181,1156,magistrat,1,Börsegasse,"MA 28 - Straße, Grünanlage",Tilia x euchlora (Krimlinde),1960,"1960",144,144 cm,4,16-20 m,3,7-9 m,"1008"
394121196,1155,magistrat,1,Börsegasse,"MA 28 - Straße, Grünanlage",Tilia x vulgaris (Holländische Linde),1977,"1977",124,124 cm,3,11-15 m,3,7-9 m,"1007"
